Plate;Infraction ID;Fine Amount;Issuing Agency;Issue Date;County Name
JGU5538;71;65.0;TRAFFIC;2019-05-10;Queens
KEK2084;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-21;Bronx
TCC2048;21;65.0;TRAFFIC;2022-03-24;Bronx
XHZW89;74;65.0;TRAFFIC;2021-07-31;New York City
R238072;84;45.0;TRAFFIC;2018-11-21;Kings
LYN4506;46;115.0;TRAFFIC;2022-07-09;New York City
JMF3007;21;65.0;TRAFFIC;2022-10-13;Queens
JXD8446;17;95.0;DEPARTMENT OF SANITATION;2017-04-07;Bronx
HZZ9929;40;115.0;TRAFFIC;2019-08-02;Queens
HBX7200;71;65.0;TRAFFIC;2018-09-04;Queens
GHE7798;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-10-14;Bronx
85573MM;70;65.0;TRAFFIC;2022-07-11;New York City
40657BA;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-05-12;Bronx
66517NB;46;115.0;TRAFFIC;2022-06-14;New York City
HJF5110;17;95.0;TRAFFIC;2020-09-29;New York City
HTH1551;21;65.0;TRAFFIC;2020-10-23;New York City
FZK9260;14;115.0;TRAFFIC;2018-03-04;New York City
5114TI;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-06-29;Bronx
KBG6131;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-27;Richmond
GWM1361;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-28;Kings
GUM1525;70;65.0;TRAFFIC;2017-05-27;Bronx
HFL4071;5;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-09;New York City
KUW9930;38;35.0;TRAFFIC;2023-03-23;Queens
KPL8504;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-26;Queens
KJB4947;5;50.0;DEPARTMENT OF TRANSPORTATION;2021-03-11;Queens
KKR8296;70;65.0;TRAFFIC;2021-04-19;Kings
HTC9803;38;35.0;TRAFFIC;2021-03-25;Kings
GFE9363;21;45.0;TRAFFIC;2019-05-28;Kings
S83KDF;14;115.0;TRAFFIC;2019-08-07;Queens
HDST94;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-02;Kings
KYP6195;7;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-09;Queens
KVX7858;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-12-04;Kings
70476NB;20;65.0;TRAFFIC;2023-03-08;New York City
16170NC;21;65.0;TRAFFIC;2023-04-17;Queens
Z835976;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-06-04;Kings
KWR5900;21;65.0;TRAFFIC;2023-05-19;Kings
HTD3817;72;65.0;TRAFFIC;2018-06-11;Queens
JDV6823;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-01-08;Kings
GZJ6575;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-02;Bronx
HJK9495;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-03-16;Queens
49776MA;38;35.0;TRAFFIC;2017-07-03;Queens
BTC3765;71;65.0;TRAFFIC;2008-06-03;Kings
KDP6393;31;115.0;TRAFFIC;2022-02-01;New York City
HBX2346;37;35.0;TRAFFIC;2017-05-20;Bronx
249XGD;21;45.0;DEPARTMENT OF SANITATION;2018-02-26;Queens
GTK5894;21;65.0;TRAFFIC;2020-12-29;Queens
GPD5825;70;65.0;TRAFFIC;2016-05-25;Kings
M91HHC;38;35.0;TRAFFIC;2018-03-21;Bronx
HGM3293;71;65.0;TRAFFIC;2022-06-16;New York City
FSM8050;16;95.0;TRAFFIC;2017-03-01;New York City
T525881C;7;50.0;DEPARTMENT OF TRANSPORTATION;2016-09-10;Kings
GWG9080;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-10-03;Kings
LSK5293;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-07;Bronx
JRA8863;46;115.0;TRAFFIC;2020-12-06;Queens
XHZV23;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-06;New York City
ECD4490;38;65.0;TRAFFIC;2019-03-01;New York City
65808JR;38;35.0;TRAFFIC;2016-07-08;Queens
EHN7886;46;115.0;TRAFFIC;2018-06-01;Bronx
UXJ1236;14;115.0;TRAFFIC;2020-02-20;Kings
482536;14;115.0;TRAFFIC;2023-09-27;Bronx
G12GNT;9;115.0;TRAFFIC;2018-01-19;New York City
KMB6891;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-14;Kings
KTV5928;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-09;Bronx
HVU3432;21;45.0;TRAFFIC;2018-05-22;Queens
29094ML;46;115.0;TRAFFIC;2020-11-20;New York City
40370MJ;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-08-05;Queens
KEK4466;38;35.0;TRAFFIC;2023-01-20;Queens
J76MWV;38;65.0;TRAFFIC;2023-09-23;New York City
HXD7885;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-06;Queens
63608MD;69;65.0;TRAFFIC;2018-03-17;New York City
JBB4260;71;65.0;TRAFFIC;2022-07-18;Queens
QPEQ27;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-02-13;Kings
JRV3836;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-25;Kings
CDP5147;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-20;Bronx
Y103972C;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-03;New York City
JFW2562;53;115.0;TRAFFIC;2020-09-29;New York City
KYF7958;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-28;Queens
AXT5601;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-04-03;Kings
93495JT;20;65.0;TRAFFIC;2022-08-04;New York City
HFE5286;14;115.0;TRAFFIC;2017-11-24;New York City
4C14H;23;65.0;TRAFFIC;2018-04-04;New York City
HKH6558;14;115.0;TRAFFIC;2017-07-07;New York City
U28LCK;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-29;Queens
JPR5351;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-25;Queens
JKA2866;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-29;Kings
EBK6557;5;115.0;DEPARTMENT OF TRANSPORTATION;2016-08-08;New York City
HHS4564;16;95.0;TRAFFIC;2019-09-16;New York City
Z48KNL;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-11-26;Queens
T714167C;40;115.0;TRAFFIC;2021-01-21;Bronx
26845MN;10;115.0;TRAFFIC;2020-10-24;New York City
JCH9463;21;65.0;TRAFFIC;2023-03-21;Kings
DC49483;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-08;Queens
KFR8149;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-06;Queens
HXL221;16;95.0;TRAFFIC;2023-08-11;Kings
61000MH;21;45.0;TRAFFIC;2017-02-25;Kings
31377MG;46;115.0;TRAFFIC;2018-12-06;New York City
JLH8723;38;35.0;TRAFFIC;2021-07-09;Queens
LVT9940;21;65.0;TRAFFIC;2022-06-24;New York City
XBHV70;46;115.0;POLICE DEPARTMENT;2019-03-01;New York City
65945PC;19;115.0;TRAFFIC;2019-11-07;Kings
WE862K;14;115.0;TRAFFIC;2022-10-22;New York City
ACZ8981;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-26;Kings
JGW1235;37;65.0;TRAFFIC;2021-07-13;New York City
T678512;50;115.0;TRAFFIC;2018-09-11;Queens
S22GYR;14;115.0;TRAFFIC;2017-12-21;Queens
HUR1836;46;115.0;TRAFFIC;2018-04-04;Bronx
KXL7123;70;65.0;TRAFFIC;2022-07-18;Bronx
JNB5589;14;115.0;TRAFFIC;2022-02-18;Queens
254146;21;65.0;TRAFFIC;2021-01-28;New York City
KKX5728;70;65.0;TRAFFIC;2021-08-25;Kings
73UA19;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-02-12;Queens
GFD5515;38;35.0;TRAFFIC;2016-05-06;Queens
JCX1201;14;115.0;TRAFFIC;2022-10-11;New York City
JBW8337;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-02;Richmond
J29NMJ;40;115.0;TRAFFIC;2022-05-11;New York City
VEY4843;38;65.0;TRAFFIC;2018-01-10;New York City
38573NA;18;115.0;TRAFFIC;2022-03-10;New York City
JFW4144;21;65.0;TRAFFIC;2020-08-07;Queens
JCU6403;71;65.0;TRAFFIC;2021-01-02;Bronx
HVL6865;21;45.0;TRAFFIC;2018-07-13;Queens
55AGFI;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-11;New York City
873MV4;38;35.0;TRAFFIC;2019-04-09;Queens
KRW6932;5;50.0;DEPARTMENT OF TRANSPORTATION;2021-10-12;Kings
JFZ9050;50;115.0;TRAFFIC;2023-11-07;Queens
JRF3705;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-29;Kings
JMT7801;38;35.0;TRAFFIC;2020-06-24;Kings
HHT7485;46;115.0;TRAFFIC;2019-07-10;Bronx
JHA3045;46;115.0;TRAFFIC;2020-06-19;Bronx
JAMI29;20;60.0;TRAFFIC;2017-12-22;Bronx
JMC8472;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-14;Bronx
HXE5413;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-08-17;Bronx
HKY7589;9;115.0;TRAFFIC;2022-02-09;New York City
HRP1569;70;65.0;TRAFFIC;2018-11-17;Queens
CD26637;53;115.0;TRAFFIC;2021-05-14;Kings
JAV7780;46;115.0;TRAFFIC;2022-04-26;Kings
HFJ8870;38;35.0;TRAFFIC;2016-12-16;Kings
AJ58281;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-13;Bronx
CMU4019;21;65.0;TRAFFIC;2020-10-31;Kings
HZJ8197;14;115.0;POLICE DEPARTMENT;2022-02-04;Kings
18506MA;74;65.0;TRAFFIC;2019-09-12;Queens
GSU1409;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-31;Queens
DJR4165;21;65.0;TRAFFIC;2020-03-06;Kings
GED9322;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-11-12;Queens
X43FYX;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-12-16;Richmond
FBZ1140;5;100.0;DEPARTMENT OF TRANSPORTATION;2022-02-25;New York City
KFS6467;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-16;Queens
K99GSX;5;115.0;DEPARTMENT OF TRANSPORTATION;2016-12-01;Queens
KKX3808;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-01;Kings
T682879C;21;65.0;TRAFFIC;2020-11-27;Queens
S1178664;21;65.0;TRAFFIC;2022-05-10;Queens
JDM5373;40;115.0;POLICE DEPARTMENT;2019-10-24;Kings
JPA4821;70;65.0;TRAFFIC;2021-01-30;Kings
GYG7060;21;45.0;DEPARTMENT OF SANITATION;2018-08-25;Kings
31162PC;46;115.0;TRAFFIC;2018-11-19;Kings
JDV9154;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-01-08;New York City
JKC4955;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-04;Kings
GJH8377;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-30;Kings
HFE3871;14;115.0;TRAFFIC;2017-09-08;Queens
GBL5222;21;65.0;TRAFFIC;2020-08-10;Queens
54382JA;85;65.0;TRAFFIC;2016-05-18;Queens
GEX7751;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-04-04;Bronx
70930MN;62;65.0;TRAFFIC;2023-07-05;New York City
6F61J;11;115.0;TRAFFIC;2018-11-25;New York City
T722706C;71;65.0;TRAFFIC;2018-12-19;Bronx
W48ERM;17;95.0;TRAFFIC;2016-10-27;New York City
18381MG;46;115.0;TRAFFIC;2018-12-12;New York City
R82LRR;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-10-15;Kings
KVS4439;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-17;Bronx
JBJT42;38;35.0;TRAFFIC;2022-03-12;Bronx
31808MN;46;115.0;TRAFFIC;2023-08-31;New York City
KHM9256;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-07;Queens
GSP9435;70;65.0;TRAFFIC;2016-12-27;Queens
16753NA;14;115.0;TRAFFIC;2021-03-16;Queens
XMJZ72;42;65.0;TRAFFIC;2023-08-03;New York City
104THD;16;55.0;POLICE DEPARTMENT;2000-01-06;New York City
49AZWH;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-02;Queens
W36KBW;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-21;Bronx
D90NYT;14;115.0;TRAFFIC;2023-03-15;Queens
07BCZS;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-27;Bronx
EPE6301;71;65.0;TRAFFIC;2010-06-29;Kings
HMT5862;21;45.0;DEPARTMENT OF SANITATION;2018-09-05;Kings
E73GYF;20;60.0;TRAFFIC;2017-02-27;Queens
HYW7747;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-04;New York City
XEJY97;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-26;Richmond
T764210C;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-12-19;Bronx
KDP2522;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-14;Queens
GKJ6412;37;35.0;TRAFFIC;2016-11-22;Kings
GWU3700;71;65.0;TRAFFIC;2019-05-14;New York City
GPP8129;31;115.0;TRAFFIC;2018-09-10;New York City
XCTS72;20;65.0;TRAFFIC;2019-10-11;New York City
2SME38;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-19;Queens
92638MH;47;115.0;TRAFFIC;2020-09-23;New York City
HDB4717;70;65.0;TRAFFIC;2022-08-19;Queens
KPT1743;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-17;Queens
HZJ3945;31;115.0;TRAFFIC;2021-11-19;New York City
HFJ1822;19;115.0;TRAFFIC;2020-06-01;Bronx
KHE3762;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-10;Bronx
KHD8016;40;115.0;TRAFFIC;2021-03-27;New York City
9EH7569;40;115.0;TRAFFIC;2021-08-13;Kings
KUH4493;38;35.0;TRAFFIC;2022-04-06;Queens
HJK5184;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-03-12;Queens
UW50NB;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-07-04;Queens
VG120;14;115.0;TRAFFIC;2021-10-24;New York City
JBF4460;37;35.0;TRAFFIC;2020-01-16;Queens
SCG587;38;35.0;TRAFFIC;2018-01-24;Queens
KFP2868;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-16;Kings
FPJ8741;21;45.0;TRAFFIC;2019-05-31;Kings
HCL2057;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-25;Bronx
DDZ3500;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-01-23;Queens
GVL7666;37;35.0;TRAFFIC;2016-10-19;Bronx
ERB3414;40;115.0;TRAFFIC;2016-07-15;Queens
60400MG;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-18;New York City
B69LGE;20;60.0;TRAFFIC;2019-06-28;Bronx
KDV5535;38;65.0;TRAFFIC;2022-07-16;New York City
16099ND;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-12-01;Kings
LSX7931;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-04;Kings
HCY4506;46;115.0;TRAFFIC;2022-08-18;Kings
88826JE;78;65.0;POLICE DEPARTMENT;2017-04-01;Queens
FLW7109;16;95.0;TRAFFIC;2018-07-23;Queens
JBV6652;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-03-17;Queens
33111MA;13;115.0;TRAFFIC;2017-06-16;New York City
238926G;66;65.0;TRAFFIC;2021-04-07;New York City
88999MH;40;115.0;TRAFFIC;2018-12-11;Kings
T796298C;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-25;Kings
JMJ3231;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-10;Bronx
JMJ5163;40;115.0;TRAFFIC;2021-08-02;New York City
L56MPR;46;115.0;TRAFFIC;2021-09-27;Bronx
T799324C;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-27;Queens
GPL6713;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-04-21;Queens
FJF3210;38;35.0;TRAFFIC;2017-09-16;Queens
BH30520;20;60.0;TRAFFIC;2023-07-25;Kings
B41RLS;21;65.0;TRAFFIC;2022-12-05;Kings
HZZ5496;21;65.0;TRAFFIC;2021-10-05;Kings
HWT1442;51;115.0;TRAFFIC;2023-11-30;Bronx
EDK6896;46;115.0;POLICE DEPARTMENT;2017-04-29;Bronx
FGE2434;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-20;Kings
XLZH83;48;115.0;TRAFFIC;2023-07-11;New York City
HNJ3250;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-03-03;Kings
96332MB;48;115.0;TRAFFIC;2023-08-24;New York City
KEN7154;14;115.0;TRAFFIC;2022-04-27;Kings
GGY8813;40;115.0;TRAFFIC;2016-10-23;Bronx
LFE1520;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-15;Kings
LAU9793;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-10;Queens
G74KUY;38;35.0;TRAFFIC;2019-09-16;Queens
HDS6498;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-02-17;New York City
GYW4938;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-05-02;Kings
GMX2920;14;115.0;TRAFFIC;2021-09-29;Kings
HSV4779;5;115.0;DEPARTMENT OF TRANSPORTATION;2017-06-19;New York City
VXH8022;40;115.0;TRAFFIC;2019-06-26;New York City
JKY7499;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-02-21;Bronx
YFT11Z;21;45.0;TRAFFIC;2019-01-24;New York City
KFR9191;16;95.0;TRAFFIC;2020-11-27;Queens
FZD7023;24;60.0;TRAFFIC;2018-04-10;Kings
JCZ4711;40;115.0;TRAFFIC;2019-03-28;Queens
DCT2372;21;45.0;TRAFFIC;2018-12-12;Queens
EUX5657;37;35.0;TRAFFIC;2020-02-05;Kings
T775094C;38;35.0;TRAFFIC;2018-10-16;Queens
HBN5731;14;115.0;TRAFFIC;2015-12-03;Bronx
2028691;47;115.0;TRAFFIC;2021-10-14;New York City
HDD3256;71;65.0;TRAFFIC;2017-10-14;Queens
57050MH;14;115.0;TRAFFIC;2021-03-10;Bronx
HPU8876;5;115.0;DEPARTMENT OF TRANSPORTATION;2017-07-24;Kings
JCY6178;20;65.0;TRAFFIC;2019-02-14;New York City
JGM5319;74;65.0;TRAFFIC;2021-01-25;Kings
79782NA;69;65.0;TRAFFIC;2022-10-28;New York City
OLIAMBAR;71;65.0;TRAFFIC;2022-10-07;New York City
19833MN;40;115.0;TRAFFIC;2019-11-13;Kings
D87LDZ;16;95.0;TRAFFIC;2019-11-19;Kings
Y87CED;21;65.0;TRAFFIC;2020-08-04;New York City
GWE2051;70;65.0;TRAFFIC;2021-01-25;Queens
HRR8583;20;60.0;TRAFFIC;2021-02-05;Queens
FP179571;7;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-18;New York City
HPN3551;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-04-24;Kings
KVV5297;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-08;Kings
DCQ2850;5;50.0;DEPARTMENT OF TRANSPORTATION;2020-02-28;Bronx
74556NA;21;65.0;TRAFFIC;2020-12-31;Queens
EKU2161;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-02-13;Queens
5EZ2098;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-06;Bronx
91868MJ;69;65.0;TRAFFIC;2020-11-16;New York City
79942MD;17;95.0;TRAFFIC;2016-07-21;New York City
GK4P4P;31;115.0;TRAFFIC;2023-09-07;New York City
66827MM;20;65.0;TRAFFIC;2020-01-29;New York City
HKJ8992;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-02;Kings
AT45980;39;60.0;TRAFFIC;2020-01-06;Bronx
JCN1371;71;65.0;TRAFFIC;2019-07-02;Queens
JPR5505;38;65.0;TRAFFIC;2022-11-05;New York City
KGC9828;38;35.0;TRAFFIC;2023-11-28;Queens
87248MK;21;45.0;TRAFFIC;2019-10-31;Queens
T756705C;5;100.0;DEPARTMENT OF TRANSPORTATION;2023-04-30;Bronx
EVB1578;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-23;Richmond
KXM3996;5;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-05;New York City
JSF6374;40;115.0;TRAFFIC;2021-09-21;Queens
IKEMEN10;14;115.0;TRAFFIC;2023-02-20;New York City
15663NC;74;65.0;TRAFFIC;2023-03-04;Queens
K84NSL;19;115.0;TRAFFIC;2021-10-10;New York City
GWG8073;16;95.0;TRAFFIC;2018-05-08;New York City
GLS6366;38;35.0;TRAFFIC;2023-09-22;Kings
KFP4044;14;115.0;TRAFFIC;2023-01-07;Kings
KXC3482;20;65.0;TRAFFIC;2022-11-21;New York City
KHE3145;50;115.0;TRAFFIC;2022-11-03;Kings
JLN8767;7;50.0;DEPARTMENT OF TRANSPORTATION;2020-12-30;Kings
FHV5246;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-06-29;Kings
72745MD;38;35.0;TRAFFIC;2019-07-09;Bronx
KDB2833;70;65.0;TRAFFIC;2021-01-13;New York City
KLT7688;16;95.0;TRAFFIC;2023-03-06;Kings
HDG6209;20;60.0;TRAFFIC;2022-11-07;Bronx
57163JZ;46;115.0;TRAFFIC;2019-01-09;Bronx
HYB6409;20;60.0;TRAFFIC;2018-08-18;Kings
KJZ2586;31;115.0;TRAFFIC;2021-07-30;New York City
81621MM;46;115.0;TRAFFIC;2020-10-05;New York City
6531243;14;115.0;TRAFFIC;2020-02-26;New York City
KYJ1506;16;95.0;TRAFFIC;2023-08-31;Kings
FEZ7731;21;45.0;DEPARTMENT OF SANITATION;2017-08-14;Kings
9E32H;13;115.0;TRAFFIC;2018-01-29;New York City
JLP7861;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-05;Queens
IYVA87;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-12-02;Queens
GBU2255;38;35.0;TRAFFIC;2016-10-11;Kings
T682312C;9;115.0;TRAFFIC;2019-07-03;New York City
XKVU33;84;65.0;TRAFFIC;2023-02-15;New York City
348DDS;20;65.0;TRAFFIC;2022-08-31;New York City
61829MJ;20;65.0;TRAFFIC;2017-10-30;New York City
CNM6805;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-08-14;Queens
JNU1728;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-10;Kings
FCX6988;71;65.0;TRAFFIC;2022-02-21;Kings
A29SFE;40;115.0;TRAFFIC;2023-09-23;Kings
AT461E;47;115.0;TRAFFIC;2018-10-29;New York City
JJA5252;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-14;Queens
HNX2169;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-05;Kings
2NA314;19;115.0;TRAFFIC;2015-11-12;New York City
JRX7829;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-09;Queens
528ZLY;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-06;Queens
KRH6705;14;115.0;TRAFFIC;2018-07-05;New York City
W92FHU;38;35.0;TRAFFIC;2018-04-04;Queens
HPM6958;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-01;Queens
BF22080;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-30;Queens
JEY3025;40;115.0;TRAFFIC;2021-05-05;Queens
EFZ6493;17;95.0;TRAFFIC;2020-08-10;New York City
54596MG;38;65.0;TRAFFIC;2019-02-23;New York City
JED2447;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-10-01;Queens
JDP3627;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-08-20;Queens
M53FAW;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-24;Kings
CVE5259;38;35.0;TRAFFIC;2018-06-22;Kings
HWU4747;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-13;Queens
92253JJ;14;115.0;TRAFFIC;2021-05-14;Queens
JBB4299;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-03;Kings
KTJ2414;71;65.0;TRAFFIC;2023-02-11;Kings
46812MJ;14;115.0;POLICE DEPARTMENT;2019-11-05;New York City
V46KKL;14;115.0;TRAFFIC;2019-03-26;New York City
V88GED;7;50.0;DEPARTMENT OF TRANSPORTATION;2016-08-23;Kings
HFV5182;21;45.0;DEPARTMENT OF SANITATION;2017-01-12;Kings
HSP6382;16;95.0;TRAFFIC;2018-04-27;Kings
JEA5917;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-08-06;Kings
KXL6633;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-18;Bronx
HNX2927;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-19;Queens
GTJ5817;38;35.0;TRAFFIC;2017-10-19;Kings
3EBX14;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-01;Queens
1313ST;66;45.0;TRAFFIC;2022-02-24;Queens
47318BB;20;60.0;TRAFFIC;2021-08-03;Kings
63317ME;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-05-21;Kings
83916MN;84;65.0;TRAFFIC;2021-03-08;New York City
JRD6611;37;35.0;TRAFFIC;2020-11-18;Bronx
8DAJ133;38;35.0;TRAFFIC;2019-09-09;Queens
92015JW;71;65.0;TRAFFIC;2018-07-19;New York City
JCF5180;37;35.0;TRAFFIC;2023-01-07;Queens
DJF8320;31;115.0;TRAFFIC;2017-02-16;New York City
JCV7427;46;115.0;TRAFFIC;2021-06-15;Queens
JBD5190;20;60.0;TRAFFIC;2020-11-30;Kings
KND2910;71;65.0;TRAFFIC;2021-09-08;Richmond
F23JRD;21;65.0;TRAFFIC;2020-02-06;New York City
72240NA;46;115.0;TRAFFIC;2022-08-18;Queens
FXX6517;74;65.0;TRAFFIC;2017-02-28;Kings
K90CUX;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-08-28;New York City
HUV1896;16;95.0;TRAFFIC;2022-09-08;New York City
HFP7958;21;45.0;TRAFFIC;2017-06-19;Kings
LPN5258;38;65.0;TRAFFIC;2023-06-02;New York City
ECH7983;20;60.0;TRAFFIC;2017-09-17;Bronx
HZP7216;20;60.0;TRAFFIC;2023-09-14;Kings
HCL2093;38;35.0;TRAFFIC;2018-06-06;Kings
89049MC;46;115.0;TRAFFIC;2017-02-13;New York City
GJS8955;71;65.0;TRAFFIC;2020-07-31;Bronx
JJG9456;21;65.0;TRAFFIC;2021-10-19;Kings
JJH2720;31;115.0;TRAFFIC;2023-06-06;New York City
X33PZN;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-03;Bronx
XBGZ34;78;65.0;TRAFFIC;2018-02-26;Queens
FMT1132;46;115.0;POLICE DEPARTMENT;2018-01-10;Richmond
N91KET;10;115.0;TRAFFIC;2021-02-04;New York City
HNY6542;14;115.0;TRAFFIC;2020-09-16;Bronx
HAY3170;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-03-24;Kings
JCN1513;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-12-26;Queens
EUM3719;38;35.0;TRAFFIC;2021-05-06;Queens
HHK1796;21;65.0;TRAFFIC;2018-12-04;New York City
EJP1218;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-13;Kings
JAYMONEY;71;65.0;TRAFFIC;2022-02-13;Kings
JLG4301;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-12-01;Kings
41810MH;38;65.0;TRAFFIC;2022-02-07;New York City
KLT5640;21;65.0;TRAFFIC;2022-01-28;Kings
